numero_empleado,cbi_item_1,cbi_item_2,cbi_item_3,cbi_item_4,cbi_item_5,cbi_item_6,cbi_item_7,cbi_item_8,cbi_item_9,cbi_item_10,cbi_item_11,cbi_item_12,cbi_item_13,cbi_item_14,cbi_item_15,cbi_item_16,cbi_item_17,cbi_item_18,cbi_item_19,timestamp_respuesta
EI0904640ES,Raramente,Siempre,Nunca,Nunca,A veces,A menudo,A menudo,Nunca,Raramente,A menudo,Nunca,Siempre,A veces,Siempre,A veces,Nunca,Raramente,A veces,Nunca,2026-02-22 18:04:28
EI1402315ES,A veces,A veces,Nunca,A veces,Raramente,Siempre,Nunca,Nunca,Siempre,Nunca,A menudo,A menudo,Nunca,Raramente,A menudo,A menudo,Nunca,A veces,Raramente,2026-11-23 01:47:58
EI9002555ES,A veces,Raramente,A veces,Siempre,Raramente,A veces,Siempre,A veces,A menudo,Raramente,A menudo,Raramente,A veces,Raramente,A veces,A menudo,Nunca,A menudo,A menudo,2026-01-29 12:20:31
EI0401418ES,Siempre,A menudo,A veces,A veces,A veces,A veces,Nunca,Raramente,A menudo,A veces,A veces,Raramente,Siempre,Raramente,Raramente,Raramente,A menudo,Siempre,A menudo,2026-05-25 13:16:20
EI9103097ES,Nunca,A veces,Nunca,Nunca,A veces,Raramente,A menudo,A veces,A veces,A veces,Siempre,A menudo,Siempre,A menudo,A menudo,Siempre,A menudo,A veces,A menudo,2026-06-22 20:13:54
EI1700026ES,Raramente,A veces,A menudo,A veces,A menudo,Raramente,A menudo,Nunca,Nunca,Siempre,A menudo,Raramente,A veces,A menudo,Raramente,A menudo,A veces,A veces,A veces,2026-05-04 10:33:03
EI9002410ES,Raramente,A veces,A menudo,Raramente,A veces,Nunca,A veces,A veces,Siempre,Siempre,A veces,A veces,A veces,Siempre,A veces,Siempre,Nunca,Siempre,A veces,2026-06-30 12:56:55
EI1801114ES,Raramente,Nunca,A menudo,A menudo,Raramente,Siempre,Raramente,A menudo,A veces,A veces,A menudo,A menudo,A menudo,Siempre,Siempre,Raramente,Raramente,Nunca,A menudo,2026-11-15 12:14:27
EI0704149ES,Nunca,Siempre,Raramente,A veces,Nunca,A veces,A menudo,Siempre,Raramente,A veces,A veces,Siempre,A veces,A veces,Nunca,Siempre,Nunca,A menudo,Raramente,2026-07-06 15:50:34
EI9801553ES,A veces,A veces,Raramente,Raramente,Raramente,A veces,Nunca,A menudo,Nunca,Raramente,A menudo,A veces,A menudo,Siempre,A veces,Siempre,A menudo,A menudo,A menudo,2026-04-06 04:28:45
EI0005979ES,A menudo,Raramente,Siempre,Nunca,A menudo,Raramente,Raramente,A veces,A veces,A menudo,Siempre,Raramente,A menudo,Siempre,Raramente,Raramente,Siempre,A menudo,Raramente,2026-08-06 20:19:30
EI0305225ES,A veces,A veces,Nunca,A veces,Raramente,A menudo,Raramente,A menudo,Raramente,A menudo,Raramente,A menudo,A veces,A menudo,A veces,A veces,Siempre,Raramente,Raramente,2026-12-06 07:48:59
EI0305514ES,Raramente,Siempre,Raramente,A veces,Siempre,Siempre,Siempre,A veces,A menudo,Siempre,A veces,A menudo,Nunca,A menudo,Siempre,A veces,Siempre,Nunca,A menudo,2026-04-15 13:34:51
EI0000434ES,Raramente,A veces,Raramente,Siempre,Siempre,A menudo,A veces,A menudo,A menudo,A menudo,Raramente,Siempre,A menudo,A veces,A veces,Nunca,Raramente,Raramente,Raramente,2026-12-03 17:36:33
EI2306797ES,A veces,A menudo,Siempre,A menudo,A veces,Nunca,Nunca,Raramente,Siempre,A menudo,A menudo,Raramente,A menudo,A menudo,A veces,A veces,Raramente,Raramente,A menudo,2026-12-25 15:05:44
EI1002656ES,Siempre,A menudo,A veces,A menudo,A menudo,Raramente,A menudo,A veces,A veces,A menudo,Siempre,Siempre,A veces,Nunca,A menudo,A veces,Nunca,A menudo,Raramente,2026-08-01 18:31:52
EI9303876ES,A menudo,Raramente,A veces,Siempre,Nunca,A menudo,Siempre,A veces,A veces,A menudo,Siempre,A veces,Siempre,Nunca,A veces,A veces,A veces,Raramente,A veces,2026-01-28 20:24:24
EI1004741ES,Nunca,A veces,A veces,A menudo,A veces,Raramente,A veces,A veces,A menudo,A menudo,Raramente,Raramente,A menudo,Siempre,A veces,A veces,A veces,A menudo,A veces,2026-11-10 12:57:57
EI1004078ES,A veces,Nunca,A veces,A menudo,A veces,Siempre,Nunca,Raramente,Siempre,A menudo,A veces,Raramente,Nunca,Nunca,Siempre,A menudo,A menudo,A menudo,A veces,2026-01-04 10:58:41
EI0501128ES,A veces,Raramente,Raramente,Nunca,A veces,A menudo,A veces,Siempre,A menudo,A veces,Nunca,A veces,Raramente,A menudo,Raramente,A veces,A veces,Siempre,A veces,2026-10-25 03:20:13
EI2004421ES,A menudo,A veces,A menudo,A veces,Raramente,Raramente,A veces,Siempre,A menudo,A veces,Raramente,A veces,Raramente,A menudo,A veces,Raramente,A menudo,A veces,Siempre,2026-01-16 18:18:15
EI9505190ES,A menudo,Siempre,Raramente,A veces,A veces,A menudo,A veces,Raramente,Nunca,Siempre,Siempre,A veces,Siempre,Raramente,A veces,A menudo,A veces,Raramente,A veces,2026-08-02 01:51:00
EI0204123ES,Raramente,A veces,A menudo,Nunca,A menudo,A menudo,Nunca,Raramente,Nunca,A veces,Raramente,A veces,A menudo,A veces,A menudo,A veces,Siempre,A veces,Siempre,2026-05-31 07:18:55
EI1702519ES,A veces,A menudo,A menudo,A menudo,Raramente,Raramente,Siempre,A veces,Siempre,Raramente,A menudo,Siempre,A veces,Siempre,Raramente,Raramente,A veces,A menudo,Nunca,2026-02-10 17:14:42
EI0306728ES,Raramente,Nunca,Siempre,A veces,A menudo,A veces,A menudo,A menudo,A menudo,Siempre,A veces,A veces,Raramente,Raramente,A veces,Nunca,Nunca,A veces,A menudo,2026-02-15 13:29:29
EI0501103ES,A veces,A menudo,A menudo,A veces,A menudo,Nunca,Siempre,A menudo,Raramente,Nunca,A veces,Siempre,A veces,A veces,Siempre,Nunca,Nunca,A veces,A veces,2026-06-18 17:10:06
EI9705108ES,A veces,A menudo,A menudo,Siempre,A veces,Siempre,Siempre,A menudo,Siempre,A menudo,Siempre,A veces,A menudo,Nunca,Raramente,A menudo,Raramente,A veces,A veces,2026-10-14 11:41:21
EI9804742ES,A menudo,A veces,Raramente,Raramente,Siempre,A menudo,A menudo,Nunca,Nunca,Siempre,Siempre,Raramente,A veces,Nunca,A veces,A veces,A menudo,A menudo,A veces,2026-03-23 03:24:13
EI0004221ES,Raramente,A menudo,A veces,Siempre,Nunca,A menudo,A menudo,A menudo,A menudo,A menudo,A veces,A veces,A menudo,Nunca,A menudo,A veces,A menudo,Siempre,A menudo,2026-11-17 21:05:01
EI9905185ES,A veces,A menudo,A veces,Siempre,A veces,Raramente,A veces,A veces,A veces,Siempre,A veces,A veces,Nunca,A veces,Nunca,A menudo,Siempre,Siempre,A veces,2026-08-22 21:13:44
EI2005712ES,A veces,A veces,A veces,A menudo,Nunca,A menudo,A menudo,Raramente,Raramente,A veces,A menudo,Raramente,A veces,Raramente,Raramente,A menudo,A veces,Nunca,Raramente,2026-04-29 08:07:17
EI2500195ES,A veces,Siempre,Siempre,Nunca,A menudo,A menudo,A veces,Siempre,A menudo,A menudo,A veces,A veces,A menudo,Nunca,Siempre,Nunca,A veces,Raramente,A menudo,2026-07-20 20:14:34
EI1200616ES,Nunca,Siempre,A menudo,A veces,Nunca,Siempre,Nunca,Siempre,Siempre,Raramente,A menudo,Siempre,Nunca,Siempre,A veces,Siempre,Siempre,A menudo,A menudo,2026-07-16 01:40:58
EI0500644ES,Siempre,A menudo,A veces,A veces,Siempre,Raramente,A menudo,A menudo,Raramente,Raramente,A veces,A veces,Nunca,Raramente,A menudo,Raramente,Raramente,A menudo,Siempre,2026-11-12 08:49:54
EI2406554ES,Raramente,Raramente,A veces,A veces,Siempre,A menudo,A menudo,A veces,Nunca,A veces,A veces,A menudo,A veces,Siempre,Siempre,A veces,A veces,A menudo,A veces,2026-02-05 15:18:00
EI1003117ES,A menudo,A veces,Raramente,A menudo,Siempre,Siempre,A menudo,A menudo,A veces,A veces,Raramente,A menudo,A veces,Nunca,A menudo,A veces,A menudo,A veces,A veces,2026-01-19 19:03:37
EI9703371ES,A veces,A veces,A veces,A veces,A veces,A veces,A veces,Siempre,Raramente,A veces,Nunca,A veces,A menudo,Siempre,Siempre,Raramente,Raramente,Siempre,A menudo,2026-10-22 18:50:49
EI2002777ES,Siempre,A veces,Raramente,A veces,Siempre,A menudo,Raramente,A menudo,Nunca,A menudo,Nunca,A menudo,A menudo,A veces,A veces,A veces,A veces,Raramente,Raramente,2026-09-17 19:53:27
EI0705738ES,A menudo,A menudo,A veces,Siempre,A veces,A menudo,Raramente,Siempre,A menudo,Siempre,A menudo,Raramente,A veces,A veces,Raramente,Nunca,Raramente,Raramente,Siempre,2026-06-29 23:31:42
EI1505914ES,A veces,Nunca,Nunca,A veces,A menudo,Siempre,A veces,A menudo,A menudo,A menudo,A veces,A veces,Raramente,A menudo,A menudo,Raramente,A veces,A veces,A menudo,2026-12-14 00:53:23
EI2206566ES,Siempre,Siempre,A menudo,Siempre,A menudo,Raramente,Raramente,A menudo,A menudo,Siempre,A veces,Siempre,A veces,Raramente,A menudo,A menudo,A veces,Raramente,Raramente,2026-02-15 01:12:59
EI1200331ES,A veces,A veces,A veces,A menudo,A veces,Siempre,Raramente,Siempre,Siempre,A menudo,Raramente,A menudo,A veces,A menudo,Siempre,A veces,Siempre,A veces,Nunca,2026-07-08 13:32:13
EI9702208ES,Nunca,Raramente,A veces,Raramente,A menudo,Siempre,A menudo,Raramente,Raramente,A veces,A menudo,A menudo,A veces,A menudo,A veces,A veces,A menudo,Siempre,A menudo,2026-10-10 07:10:08
EI2406855ES,Siempre,Raramente,Nunca,A veces,Raramente,A menudo,A menudo,A menudo,Siempre,A veces,A veces,Siempre,Raramente,A menudo,A veces,A menudo,A veces,A veces,Raramente,2026-11-02 02:51:00
EI0205037ES,Raramente,A menudo,A menudo,A veces,A veces,Nunca,A veces,A veces,Siempre,Siempre,A veces,Raramente,Raramente,Raramente,Siempre,A menudo,A veces,A veces,A veces,2026-02-17 03:55:59
EI2202671ES,A veces,A menudo,A veces,A veces,Nunca,Siempre,Nunca,A veces,A menudo,Siempre,Siempre,A menudo,A menudo,A menudo,A menudo,A menudo,Siempre,A veces,Nunca,2026-07-09 07:26:58
EI9300973ES,A veces,Raramente,A menudo,A menudo,A menudo,Raramente,A menudo,Raramente,Siempre,Siempre,A veces,A veces,Nunca,Raramente,Siempre,A veces,A menudo,A menudo,A veces,2026-03-30 01:35:29
EI1700484ES,A menudo,Siempre,A veces,A veces,Nunca,Raramente,A menudo,Siempre,A menudo,Siempre,A menudo,Raramente,Siempre,A menudo,A veces,A veces,Raramente,A menudo,A veces,2026-03-24 14:46:41
EI9402421ES,A menudo,Raramente,A menudo,Raramente,A veces,A menudo,Raramente,A menudo,Siempre,A veces,A menudo,A veces,A veces,A veces,A veces,Raramente,A veces,Nunca,A menudo,2026-05-26 01:45:55
EI0602603ES,A menudo,Raramente,Siempre,A veces,Nunca,A menudo,A menudo,Raramente,Raramente,A menudo,A menudo,A menudo,Nunca,A veces,A veces,A menudo,Raramente,Nunca,A menudo,2026-01-17 22:14:56
EI0100720ES,Siempre,Raramente,A veces,Nunca,Siempre,A veces,A veces,Raramente,Raramente,A menudo,Siempre,Raramente,A veces,Raramente,Raramente,Raramente,Raramente,Nunca,A veces,2026-12-29 06:54:45
EI1803415ES,A menudo,Siempre,A menudo,Nunca,Raramente,Raramente,Siempre,A menudo,Raramente,A menudo,Siempre,A veces,Raramente,A menudo,A veces,A veces,Nunca,A veces,A veces,2026-12-18 08:38:31
EI0702060ES,A veces,Raramente,A menudo,A veces,Raramente,Raramente,Siempre,Siempre,Raramente,A menudo,A veces,A veces,A menudo,Raramente,A veces,A menudo,Nunca,Raramente,A veces,2026-12-29 07:54:20
EI1502804ES,Raramente,A veces,A menudo,Raramente,Siempre,Raramente,A veces,Raramente,Nunca,Siempre,Nunca,Nunca,A veces,Raramente,A veces,Raramente,A veces,Nunca,Raramente,2026-10-20 15:46:50
EI2002567ES,Raramente,Raramente,Siempre,A veces,A veces,A menudo,A veces,A menudo,A menudo,A menudo,A veces,A veces,Nunca,A menudo,A menudo,A veces,Raramente,Nunca,A menudo,2026-05-05 18:11:46
EI9506579ES,A veces,Siempre,Nunca,A veces,Raramente,A veces,Siempre,Raramente,Nunca,A veces,A menudo,A menudo,A menudo,Siempre,Nunca,Nunca,Raramente,A menudo,A veces,2026-10-28 01:32:59
EI9300033ES,Siempre,Siempre,A veces,Siempre,A veces,Siempre,Raramente,Nunca,A veces,Siempre,A menudo,Raramente,A menudo,A veces,A menudo,A menudo,A menudo,A menudo,A menudo,2026-04-05 00:05:19
EI2500665ES,A menudo,A menudo,Raramente,A veces,Siempre,A veces,Siempre,A menudo,A menudo,Raramente,A veces,Siempre,A menudo,Nunca,Nunca,Nunca,Raramente,A veces,A veces,2026-12-07 08:35:59
EI1806800ES,A menudo,Siempre,A veces,Nunca,A veces,A veces,A veces,Raramente,A veces,A veces,Raramente,Nunca,A menudo,Siempre,Raramente,A veces,Raramente,Raramente,Siempre,2026-10-06 20:24:27
EI1504422ES,A menudo,A veces,Nunca,Raramente,Siempre,A menudo,A menudo,A veces,A menudo,A menudo,A menudo,Nunca,A veces,Raramente,Nunca,A veces,Siempre,A veces,A veces,2026-11-22 16:17:40
EI1201445ES,A veces,Nunca,A veces,Raramente,Raramente,Siempre,Raramente,Raramente,Siempre,A menudo,A veces,A veces,A menudo,A veces,A menudo,Raramente,A veces,Raramente,Raramente,2026-09-23 06:10:24
EI2203317ES,A veces,A menudo,A veces,A menudo,Siempre,A menudo,Raramente,A veces,Siempre,A menudo,A veces,A menudo,A veces,A menudo,A menudo,A menudo,A menudo,A veces,A veces,2026-12-02 02:17:09
EI9302793ES,A menudo,Raramente,A veces,A menudo,Siempre,A veces,Siempre,Siempre,A veces,Siempre,Nunca,A veces,A veces,A veces,Raramente,A veces,Nunca,Raramente,A menudo,2026-10-14 19:22:49
EI2405441ES,A menudo,Siempre,Raramente,A menudo,A menudo,Raramente,A menudo,Raramente,Raramente,A menudo,A veces,A veces,A veces,A veces,Nunca,Siempre,Siempre,A menudo,Siempre,2026-11-11 07:41:29
EI2506823ES,Raramente,A menudo,A veces,A menudo,A veces,A veces,Raramente,A menudo,A menudo,A veces,Raramente,A menudo,A menudo,A veces,Raramente,A veces,A veces,Raramente,A menudo,2026-09-28 10:49:08
EI1601706ES,Raramente,Siempre,A menudo,A veces,Nunca,Raramente,A veces,Nunca,Raramente,A menudo,Siempre,A menudo,A veces,Nunca,A veces,Siempre,A veces,Raramente,Raramente,2026-05-26 16:22:35
EI9803306ES,A menudo,A menudo,Siempre,A menudo,Siempre,A menudo,A veces,A veces,Siempre,Raramente,A menudo,A menudo,Raramente,Raramente,Raramente,Nunca,Siempre,A menudo,A menudo,2026-09-24 03:37:00
EI0205284ES,Nunca,Nunca,A veces,A veces,Siempre,Siempre,A menudo,Siempre,A menudo,Nunca,A veces,A veces,A veces,A menudo,Siempre,Siempre,Raramente,Raramente,A menudo,2026-07-31 16:29:10
EI1904575ES,Nunca,Siempre,A veces,A veces,A menudo,A menudo,Nunca,A menudo,Siempre,A veces,A veces,A veces,Raramente,Siempre,Raramente,Nunca,A menudo,Siempre,Raramente,2026-08-10 14:42:56
EI9404723ES,A menudo,A veces,Siempre,A menudo,Raramente,A menudo,Nunca,Raramente,Raramente,Raramente,Raramente,Nunca,Nunca,Siempre,A menudo,A veces,A veces,Raramente,Nunca,2026-05-08 09:56:18
EI1305911ES,A menudo,A veces,A menudo,Siempre,A veces,A veces,Siempre,A menudo,Nunca,A menudo,A veces,A menudo,Raramente,Nunca,Siempre,Raramente,A menudo,Raramente,Nunca,2026-03-11 00:17:15
EI1300119ES,A veces,Nunca,A veces,Raramente,A menudo,Raramente,A veces,Raramente,A menudo,A veces,A menudo,A menudo,Nunca,Nunca,A veces,A menudo,A menudo,Raramente,A veces,2026-10-06 08:28:05
EI1302278ES,Nunca,Siempre,Raramente,Siempre,A veces,A veces,Raramente,A menudo,Nunca,Siempre,A veces,Siempre,Siempre,Raramente,Raramente,A menudo,A menudo,A menudo,A veces,2026-06-03 18:39:34
EI2602906ES,Raramente,A menudo,Siempre,Siempre,A menudo,A veces,A veces,A veces,Raramente,Nunca,Raramente,Nunca,A veces,Nunca,A veces,A menudo,A veces,Siempre,A menudo,2026-12-25 03:22:31
EI1801402ES,Siempre,Siempre,A menudo,Raramente,A veces,Siempre,A veces,Raramente,Siempre,A veces,Raramente,A menudo,A menudo,A menudo,A menudo,A veces,A veces,Siempre,A menudo,2026-04-06 10:42:08
EI0100740ES,A menudo,A veces,Raramente,Nunca,A menudo,Siempre,A menudo,Siempre,A veces,A menudo,Nunca,Nunca,Raramente,Raramente,Siempre,A menudo,A veces,Siempre,A veces,2026-04-06 14:44:12
EI0602457ES,A veces,A menudo,A veces,Raramente,Raramente,Siempre,Siempre,A menudo,Raramente,Raramente,A menudo,Raramente,Raramente,A veces,Raramente,Raramente,Siempre,A veces,A menudo,2026-08-11 10:38:06
EI1900171ES,A veces,Raramente,A menudo,Siempre,Nunca,A veces,Raramente,Nunca,A veces,Siempre,A veces,Siempre,Siempre,Raramente,Siempre,Siempre,A veces,A menudo,Nunca,2026-09-04 10:07:30
EI2600541ES,A menudo,A veces,Raramente,A menudo,Raramente,A veces,A veces,A veces,A veces,A menudo,A menudo,A menudo,A veces,A veces,Raramente,Siempre,A menudo,Raramente,A veces,2026-03-18 15:02:16
EI9100884ES,Raramente,A veces,A veces,Nunca,A veces,A menudo,A veces,Raramente,A veces,Raramente,A menudo,A menudo,Raramente,Raramente,Nunca,A menudo,A veces,A menudo,Siempre,2026-06-07 10:00:20
EI0405243ES,A veces,A veces,A veces,Raramente,A veces,A veces,A menudo,Raramente,A menudo,A menudo,Siempre,A menudo,A veces,A menudo,Nunca,Siempre,Nunca,A veces,A menudo,2026-01-16 09:22:51
EI0804042ES,Raramente,Siempre,Nunca,A veces,Siempre,A veces,Raramente,A veces,Siempre,A veces,Raramente,A veces,A veces,Nunca,A menudo,Raramente,Raramente,Nunca,A menudo,2026-08-26 23:36:06
EI0803403ES,Raramente,A veces,Nunca,A menudo,Raramente,Siempre,Raramente,Raramente,A veces,A menudo,Nunca,A veces,Siempre,A menudo,Siempre,Siempre,A menudo,Nunca,Siempre,2026-10-14 07:04:04
EI2003752ES,Raramente,Nunca,A menudo,Siempre,A veces,A veces,A veces,A veces,Raramente,A menudo,Siempre,Raramente,Raramente,A veces,Siempre,A veces,A menudo,Raramente,Nunca,2026-12-17 06:03:37
EI2500675ES,A veces,Raramente,Siempre,Siempre,Nunca,Raramente,Nunca,A veces,Raramente,Raramente,Raramente,A menudo,Siempre,Raramente,A veces,A veces,A veces,A menudo,A menudo,2026-09-11 21:49:07
EI9204016ES,A veces,Raramente,A menudo,A veces,A menudo,A menudo,Siempre,A menudo,A veces,Nunca,A menudo,A menudo,A veces,A veces,Raramente,Raramente,Siempre,A veces,Siempre,2026-08-11 14:47:56
EI1202916ES,A menudo,Raramente,Siempre,Siempre,Raramente,A veces,Raramente,Nunca,A menudo,A menudo,A veces,A veces,Nunca,A menudo,Siempre,A veces,A veces,A menudo,Raramente,2026-05-03 16:06:18
EI0204852ES,A veces,Siempre,Siempre,Nunca,A veces,A menudo,A veces,Raramente,Siempre,A menudo,Raramente,A menudo,A veces,A veces,A menudo,A veces,A veces,A veces,Siempre,2026-11-01 23:42:34
EI9001816ES,A menudo,A menudo,A menudo,A menudo,A menudo,Raramente,A menudo,A menudo,Raramente,A veces,A veces,A veces,Raramente,A veces,A veces,A veces,Nunca,A menudo,A veces,2026-06-17 18:52:12
EI1703520ES,A veces,Siempre,Nunca,Raramente,A veces,Nunca,Siempre,A veces,A veces,A veces,A menudo,A menudo,Raramente,A menudo,Siempre,A menudo,Siempre,A menudo,A menudo,2026-02-17 20:00:45
EI0703535ES,A menudo,A menudo,Raramente,A menudo,Nunca,A veces,A menudo,A menudo,A veces,A veces,Nunca,A menudo,Siempre,Raramente,Raramente,Siempre,Raramente,A veces,Siempre,2026-08-31 16:09:07
EI1002101ES,Siempre,Siempre,A veces,A veces,Nunca,A menudo,Raramente,A veces,A menudo,Raramente,A veces,Raramente,Nunca,A menudo,A veces,A veces,Nunca,Siempre,Siempre,2026-06-04 09:55:33
EI9806834ES,A menudo,A veces,A veces,Siempre,Raramente,A menudo,Raramente,Nunca,Siempre,Raramente,Nunca,Raramente,A menudo,Raramente,A menudo,Raramente,A veces,A menudo,A menudo,2026-11-09 20:37:29
EI1506938ES,Siempre,A veces,Siempre,Raramente,Siempre,A menudo,A veces,Siempre,Siempre,A veces,Raramente,A menudo,A menudo,A menudo,Siempre,Raramente,A veces,A menudo,A menudo,2026-03-28 11:19:36
EI9006702ES,Raramente,Raramente,A menudo,A veces,Raramente,Siempre,Siempre,Nunca,Raramente,Siempre,Raramente,A veces,Raramente,A veces,Siempre,A menudo,Siempre,A veces,Raramente,2026-07-18 19:10:06
EI2502102ES,Raramente,Raramente,Siempre,Siempre,A veces,A veces,Nunca,Siempre,A veces,A menudo,A menudo,A menudo,A veces,A veces,Raramente,Raramente,A veces,A veces,Raramente,2026-08-17 03:12:55
EI2505930ES,A veces,Nunca,Raramente,Raramente,A menudo,Siempre,A menudo,A veces,A veces,A veces,Nunca,Siempre,A menudo,Nunca,A veces,A veces,Raramente,A menudo,A veces,2026-06-06 09:21:57
EI0703871ES,A menudo,Siempre,Siempre,A veces,A menudo,A menudo,A veces,A veces,Nunca,Nunca,Raramente,A veces,Siempre,A menudo,Siempre,A menudo,A veces,Raramente,A menudo,2026-07-16 22:12:15
EI2401549ES,Siempre,Siempre,Raramente,Nunca,Siempre,Raramente,Raramente,A menudo,A menudo,A veces,A menudo,A menudo,A menudo,A veces,Nunca,Raramente,Siempre,A veces,Raramente,2026-04-22 20:43:04
EI1304088ES,Siempre,A veces,A veces,Nunca,Siempre,A veces,Siempre,A veces,A menudo,A veces,Raramente,A menudo,Nunca,A menudo,A menudo,A veces,Raramente,Raramente,A veces,2026-11-12 12:11:43
EI0905452ES,A menudo,A menudo,A menudo,Nunca,Raramente,Siempre,A veces,Raramente,A menudo,Raramente,Raramente,Siempre,Siempre,Raramente,A veces,A veces,A menudo,A veces,A menudo,2026-05-08 03:20:39
EI2000356ES,Raramente,A menudo,A menudo,Siempre,A menudo,A veces,Siempre,A menudo,A veces,A menudo,Raramente,A veces,Raramente,Raramente,Raramente,A menudo,A menudo,A menudo,Raramente,2026-06-17 12:01:30
EI2003780ES,A menudo,A menudo,A veces,Siempre,Siempre,Nunca,Siempre,Siempre,Raramente,Siempre,Siempre,A menudo,A menudo,Raramente,Nunca,Raramente,A menudo,A menudo,Raramente,2026-08-12 14:41:11
EI2605640ES,A menudo,A menudo,Nunca,Nunca,A menudo,Siempre,Raramente,A veces,Raramente,A menudo,Siempre,Nunca,A veces,Nunca,Raramente,A veces,A veces,A menudo,Siempre,2026-06-09 23:47:47
EI0904845ES,Siempre,A veces,Raramente,A veces,A veces,A veces,A menudo,Raramente,A veces,Nunca,A veces,A menudo,A veces,A menudo,A veces,A menudo,A veces,Raramente,Raramente,2026-03-15 07:08:08
EI2302536ES,A menudo,A veces,A menudo,A menudo,A menudo,Raramente,A veces,Nunca,A veces,Raramente,A menudo,A menudo,A menudo,A veces,Siempre,A menudo,Raramente,Raramente,A veces,2026-11-11 10:09:48
EI0306195ES,A veces,A veces,A veces,Raramente,Siempre,A veces,A menudo,A menudo,Raramente,A veces,Siempre,Raramente,Siempre,A menudo,Raramente,A menudo,A veces,Siempre,Nunca,2026-01-06 05:33:21
EI9403221ES,A veces,A veces,A menudo,A menudo,A menudo,A menudo,A veces,Nunca,A veces,A menudo,A menudo,A veces,Siempre,Raramente,Raramente,A veces,Raramente,Raramente,Raramente,2026-11-17 13:47:37
EI9704986ES,A menudo,A menudo,Nunca,Raramente,A veces,A menudo,Siempre,A veces,A menudo,A veces,Raramente,Siempre,A veces,A veces,A veces,Raramente,A menudo,Raramente,Siempre,2026-10-26 00:24:16
EI2602374ES,Siempre,A menudo,Raramente,Raramente,Siempre,Raramente,Raramente,A menudo,Raramente,A menudo,A veces,A veces,Nunca,A veces,Nunca,A menudo,A veces,A veces,A menudo,2026-10-12 20:35:01
EI1901052ES,A menudo,A menudo,A veces,Raramente,A veces,Nunca,Siempre,Nunca,Raramente,A veces,A veces,A menudo,Nunca,Siempre,A veces,Raramente,Raramente,Raramente,A menudo,2026-07-12 09:46:02
EI0703075ES,A menudo,A menudo,A veces,A menudo,Siempre,Raramente,Raramente,A menudo,A veces,A veces,Raramente,Raramente,Siempre,Raramente,A menudo,Nunca,Siempre,Nunca,Raramente,2026-10-29 14:08:54
EI9102322ES,A menudo,Raramente,A veces,A veces,A menudo,Nunca,A veces,Raramente,A menudo,Siempre,A menudo,Siempre,Raramente,A veces,A menudo,A menudo,Nunca,A veces,A veces,2026-07-19 15:13:47
EI9804467ES,Nunca,Raramente,A menudo,A veces,A menudo,A veces,A veces,Raramente,A menudo,A menudo,Siempre,Nunca,A menudo,A veces,A veces,A menudo,Siempre,Raramente,A menudo,2026-12-08 18:54:33
EI0404510ES,A veces,A veces,Siempre,A veces,Siempre,Nunca,Raramente,A veces,A veces,A veces,A menudo,A veces,Nunca,A veces,A veces,A veces,Raramente,Nunca,Raramente,2026-02-02 04:25:56
EI0201752ES,A veces,A menudo,A menudo,A menudo,A menudo,A veces,A menudo,A veces,Siempre,A veces,Nunca,Raramente,Raramente,A menudo,Raramente,Raramente,A veces,A menudo,A veces,2026-12-05 19:34:47
EI0603410ES,A veces,A veces,Nunca,A veces,A menudo,Nunca,A menudo,A veces,A veces,Siempre,A veces,Raramente,Nunca,Raramente,Raramente,Siempre,A menudo,A veces,Raramente,2026-04-04 05:03:52
EI1101773ES,A veces,A veces,A veces,A veces,A menudo,A menudo,Siempre,A menudo,A menudo,Raramente,A veces,A menudo,A veces,Raramente,A menudo,A menudo,A veces,A veces,Raramente,2026-10-23 05:18:42
EI2401197ES,A veces,A veces,Siempre,A veces,Raramente,Raramente,A menudo,Raramente,A veces,Raramente,Raramente,Raramente,Raramente,A veces,Nunca,Siempre,Nunca,A veces,A veces,2026-05-05 23:39:47
EI1101879ES,A veces,A veces,Raramente,Raramente,Siempre,A menudo,Nunca,Nunca,Siempre,Raramente,Siempre,A menudo,Raramente,Nunca,Nunca,A veces,Raramente,A menudo,A menudo,2026-11-19 23:30:20
EI2602669ES,Raramente,A veces,A menudo,A veces,Raramente,Siempre,A menudo,A veces,Nunca,A veces,Raramente,A menudo,A veces,A menudo,A veces,Nunca,A menudo,A veces,A menudo,2026-03-11 09:41:43
EI9306986ES,A menudo,A veces,A menudo,A menudo,Raramente,A veces,Raramente,Nunca,A menudo,A menudo,A menudo,A veces,Nunca,A veces,Raramente,A menudo,A menudo,Raramente,Raramente,2026-07-16 20:23:44
EI1302017ES,A veces,Raramente,A menudo,A veces,Raramente,A menudo,A veces,A veces,A veces,Nunca,A menudo,Nunca,A menudo,Siempre,Siempre,A menudo,A menudo,Siempre,Raramente,2026-09-09 05:00:05
EI9802006ES,A veces,Siempre,A veces,Raramente,A menudo,Siempre,Siempre,A veces,Siempre,A menudo,A menudo,A menudo,Nunca,A menudo,A veces,A veces,A veces,A menudo,A veces,2026-04-06 01:54:35
EI1506914ES,Raramente,Raramente,A veces,A menudo,Raramente,Nunca,Nunca,A veces,A menudo,A menudo,A menudo,Nunca,Raramente,Nunca,Raramente,A veces,A veces,Nunca,Nunca,2026-04-26 17:01:43
