numero_empleado,CBI_Q1,CBI_Q2,CBI_Q3,CBI_Q4,CBI_Q5,CBI_Q6,CBI_Q7,CBI_Q8,CBI_Q9,CBI_Q10,CBI_Q11,CBI_Q12,CBI_Q13,CBI_Q14,CBI_Q15,CBI_Q16,CBI_Q17,CBI_Q18,CBI_Q19
IE0005446,A menudo,A menudo,A menudo,A veces,A menudo,A menudo,A veces,Siempre,A veces,A veces,A veces,Raramente,Nunca,A menudo,Siempre,A veces,Siempre,Nunca,Siempre
IE1701847,A menudo,Nunca,A veces,A menudo,A veces,Siempre,Raramente,A menudo,Raramente,A menudo,Raramente,A veces,A veces,A veces,Siempre,A menudo,Siempre,Siempre,Nunca
IE9300132,A menudo,A veces,Raramente,A veces,A menudo,Nunca,A veces,Siempre,Raramente,Raramente,A veces,A veces,A veces,Siempre,Siempre,Siempre,A menudo,Raramente,A veces
IE9500179,Siempre,Siempre,Raramente,Siempre,Raramente,A veces,A veces,A veces,A veces,Raramente,Raramente,A veces,Nunca,Raramente,Raramente,A menudo,Nunca,Nunca,Nunca
IE2004918,Raramente,A veces,Raramente,Siempre,A menudo,A veces,Nunca,A menudo,Raramente,A menudo,A menudo,Siempre,A veces,Nunca,A veces,A veces,A menudo,A veces,A veces
IE1703251,Siempre,A menudo,A menudo,Nunca,A menudo,Nunca,A menudo,A menudo,Raramente,Raramente,A menudo,A veces,A veces,A veces,A veces,A veces,A veces,Raramente,Nunca
IE9103039,A menudo,Raramente,A menudo,A veces,Siempre,Siempre,A menudo,Siempre,A menudo,A menudo,Raramente,A veces,Raramente,Raramente,A veces,Siempre,A menudo,Raramente,A veces
IE2503086,Raramente,A veces,Raramente,Raramente,A veces,A veces,Raramente,A veces,Siempre,Siempre,A menudo,A menudo,A veces,Raramente,Nunca,Siempre,Raramente,Siempre,Raramente
IE1502860,A menudo,A menudo,Nunca,Raramente,Siempre,Siempre,A menudo,A menudo,Raramente,Siempre,A menudo,A veces,A veces,Raramente,Siempre,A veces,Siempre,A menudo,Siempre
IE1903165,A menudo,Raramente,Raramente,A menudo,Nunca,Siempre,A veces,Nunca,Siempre,Siempre,Nunca,A menudo,A menudo,Raramente,Siempre,Raramente,Siempre,Nunca,Raramente
IE0102074,A veces,Raramente,A veces,A veces,Siempre,Raramente,A veces,Siempre,Siempre,A veces,Raramente,Raramente,A menudo,A veces,A veces,Siempre,Nunca,A veces,A veces
IE2500659,A veces,A veces,A veces,A veces,Raramente,Raramente,A veces,A veces,A menudo,Raramente,A veces,Siempre,A veces,A veces,Siempre,Nunca,Nunca,A veces,A veces
IE2101897,Raramente,Raramente,A veces,A menudo,Siempre,A menudo,A menudo,Siempre,Siempre,A veces,A menudo,A veces,A menudo,Raramente,Siempre,A menudo,Nunca,A veces,Siempre
IE9004010,A menudo,Siempre,A menudo,A menudo,A veces,A menudo,Raramente,A veces,Raramente,Nunca,Siempre,A menudo,Siempre,A menudo,A veces,A veces,Raramente,Siempre,A veces
IE9202222,A veces,Siempre,Raramente,A menudo,Raramente,A menudo,A veces,A veces,A veces,A veces,Siempre,Siempre,Nunca,A menudo,Raramente,A menudo,Siempre,A veces,A menudo
IE9902380,Raramente,A menudo,A veces,Nunca,A veces,A veces,A menudo,A veces,A menudo,Raramente,A veces,A veces,A veces,Raramente,A veces,Raramente,Siempre,Raramente,Siempre
IE1903753,Siempre,Raramente,A veces,A veces,A veces,A veces,A menudo,A veces,Raramente,A menudo,A veces,A veces,A menudo,Nunca,Siempre,Nunca,Siempre,A veces,A veces
IE9500343,Siempre,A veces,Raramente,Nunca,Raramente,A veces,Raramente,Siempre,Siempre,A veces,Raramente,A veces,A menudo,A menudo,A veces,Raramente,A veces,Raramente,A veces
IE9203067,A menudo,A veces,Siempre,A veces,A veces,A menudo,Raramente,Siempre,A menudo,A menudo,Nunca,A veces,A veces,Nunca,A menudo,A menudo,A veces,Nunca,A menudo
IE0800728,A menudo,A menudo,Raramente,Siempre,A veces,A menudo,Siempre,Nunca,Raramente,Raramente,Raramente,A veces,A menudo,Raramente,A veces,A menudo,A veces,A menudo,A veces
IE9404339,A menudo,A menudo,Raramente,Siempre,Raramente,A veces,A menudo,Nunca,A menudo,A menudo,A menudo,Nunca,A menudo,Siempre,Raramente,A veces,Siempre,Raramente,A veces
IE9200977,A menudo,Nunca,Raramente,A veces,A menudo,A veces,A veces,A menudo,A veces,A menudo,A veces,Nunca,A veces,A menudo,A veces,A veces,A veces,A veces,Siempre
IE9902452,A menudo,A veces,A veces,A menudo,A menudo,Nunca,A veces,A veces,A menudo,Raramente,Raramente,A veces,A veces,Nunca,A menudo,A veces,Raramente,A veces,A menudo
IE0805145,A veces,A veces,Raramente,A menudo,Raramente,Raramente,Raramente,A menudo,A menudo,Siempre,A veces,Nunca,Siempre,Siempre,A veces,Siempre,A menudo,Siempre,Nunca
IE2601929,A veces,Siempre,Raramente,Siempre,Raramente,A veces,Raramente,Nunca,A menudo,A menudo,Raramente,A menudo,Nunca,Siempre,Siempre,Siempre,A veces,A menudo,Raramente
IE1204787,Raramente,Siempre,A menudo,Siempre,Nunca,A veces,Nunca,Siempre,A menudo,Siempre,Raramente,A veces,A veces,A menudo,A menudo,A veces,Raramente,A veces,A veces
IE9803917,A menudo,A veces,A menudo,Raramente,A veces,A veces,A menudo,A menudo,Raramente,Raramente,A menudo,A veces,A menudo,A veces,A veces,Siempre,Nunca,Siempre,A menudo
IE0401300,A menudo,A veces,Nunca,Siempre,Raramente,Raramente,Raramente,Raramente,A veces,Raramente,A menudo,A menudo,A veces,Raramente,Siempre,Nunca,A veces,Raramente,A veces
IE1603618,A menudo,A menudo,Raramente,Siempre,Siempre,Raramente,Nunca,A menudo,Raramente,A menudo,Siempre,Raramente,Siempre,Raramente,Siempre,Siempre,A menudo,A menudo,A menudo
IE1605059,A menudo,Raramente,A veces,A veces,Siempre,Nunca,A veces,A menudo,A veces,A veces,Raramente,Raramente,A menudo,A veces,A veces,A menudo,Siempre,Nunca,Siempre
IE9400661,A veces,A veces,Raramente,Raramente,A menudo,A veces,A menudo,A veces,A veces,Nunca,A veces,A veces,Nunca,A veces,Raramente,A menudo,A veces,A veces,Siempre
IE0301791,A menudo,A veces,Siempre,A menudo,A menudo,A menudo,A veces,Raramente,A veces,Raramente,A veces,Siempre,A menudo,Siempre,Raramente,A menudo,Raramente,A veces,A veces
IE2502888,A menudo,A veces,Raramente,A menudo,Nunca,A veces,A menudo,A veces,Raramente,A veces,Nunca,A veces,Siempre,Siempre,A veces,A menudo,Raramente,Siempre,A menudo
IE2603363,Raramente,Siempre,A veces,A veces,A veces,Nunca,A veces,Raramente,A veces,Siempre,Raramente,A veces,A veces,Siempre,Raramente,A veces,A veces,A veces,A menudo
IE2204601,Raramente,Siempre,A menudo,A veces,A menudo,Nunca,A menudo,A menudo,A menudo,A menudo,Siempre,Raramente,Siempre,A veces,Siempre,Siempre,A menudo,Raramente,Raramente
IE0902752,Raramente,A veces,Nunca,Raramente,A veces,Nunca,A veces,Raramente,A menudo,A menudo,Raramente,A veces,Siempre,A veces,A menudo,A veces,A veces,A veces,A veces
IE0203694,A menudo,A veces,A menudo,Raramente,A menudo,A veces,Nunca,Siempre,A menudo,Siempre,Nunca,A veces,A veces,Raramente,Nunca,A veces,A veces,A veces,Raramente
IE9602642,A veces,Siempre,A veces,A menudo,Siempre,Raramente,A veces,Raramente,Siempre,A menudo,Siempre,Siempre,Siempre,A veces,Raramente,A veces,Raramente,Raramente,A menudo
IE1103263,A menudo,Raramente,A veces,Siempre,Siempre,Raramente,Siempre,A menudo,A menudo,A veces,A menudo,Siempre,A veces,Siempre,A menudo,A veces,A menudo,Raramente,Siempre
IE1701086,Siempre,Siempre,Siempre,Raramente,A veces,A veces,Nunca,Siempre,Raramente,Raramente,Raramente,A menudo,Raramente,A menudo,A veces,Raramente,Raramente,A veces,A veces
IE9403860,A menudo,A menudo,A veces,Nunca,Siempre,A veces,Nunca,Raramente,Raramente,A veces,A veces,A menudo,Raramente,Raramente,Raramente,Nunca,A veces,A veces,Siempre
IE1001279,A veces,Raramente,Raramente,A veces,A menudo,Raramente,A veces,A menudo,A menudo,Nunca,A menudo,A veces,A menudo,A menudo,A veces,A veces,A menudo,A veces,A veces
IE1705202,Raramente,A veces,Siempre,Raramente,A menudo,A veces,A veces,A menudo,A veces,A veces,Siempre,Raramente,Raramente,A menudo,A veces,Siempre,Nunca,A menudo,Siempre
IE0901622,A menudo,A veces,A menudo,A menudo,Raramente,Nunca,Siempre,A veces,A menudo,A menudo,Siempre,A menudo,Siempre,Raramente,Nunca,Siempre,Nunca,A veces,A veces
IE2103651,A menudo,A menudo,A menudo,Raramente,A menudo,A menudo,Raramente,A menudo,A menudo,Siempre,Nunca,Siempre,Siempre,Nunca,Raramente,Nunca,Raramente,Raramente,A veces
IE9404518,A menudo,A menudo,A menudo,Raramente,A veces,Raramente,A veces,A veces,A menudo,Raramente,A menudo,Nunca,Raramente,A menudo,Siempre,A veces,Raramente,A veces,A menudo
IE0400068,Nunca,A veces,Raramente,A menudo,A menudo,Raramente,A menudo,Siempre,A veces,Nunca,A veces,A veces,A veces,Nunca,Siempre,Raramente,A veces,Raramente,A veces
IE9003674,A veces,Siempre,A veces,A veces,Siempre,Raramente,A veces,A veces,A menudo,A menudo,Nunca,A menudo,Siempre,A menudo,Nunca,A veces,Raramente,Siempre,A veces
IE2302560,Nunca,A menudo,A veces,Siempre,A veces,Raramente,Nunca,A veces,A veces,Nunca,A veces,A veces,Raramente,Siempre,Raramente,Raramente,A veces,Raramente,Siempre
IE2202270,Nunca,A veces,Siempre,Nunca,A menudo,Nunca,A veces,A menudo,Raramente,A veces,Raramente,Raramente,A menudo,Raramente,Raramente,A veces,Raramente,Raramente,Raramente
IE9303862,A menudo,A menudo,Raramente,A menudo,A menudo,A menudo,Siempre,Raramente,Raramente,Raramente,Siempre,A menudo,Raramente,Nunca,A veces,A menudo,A menudo,Raramente,A menudo
IE2604341,Nunca,Raramente,Siempre,A veces,A veces,Siempre,A menudo,Siempre,Raramente,Raramente,A veces,A veces,Nunca,A veces,A menudo,A veces,Nunca,A menudo,A menudo
IE2100821,Siempre,Siempre,A veces,Siempre,A menudo,Raramente,Nunca,Raramente,A veces,A menudo,A menudo,A veces,Raramente,A veces,Raramente,Siempre,A veces,A veces,A veces
IE0601227,Raramente,A menudo,A menudo,Siempre,Siempre,A menudo,Nunca,Raramente,A menudo,A menudo,A menudo,Raramente,A veces,A veces,Siempre,A menudo,A veces,A menudo,A menudo
IE0403620,A menudo,A veces,A veces,A menudo,A menudo,A menudo,Raramente,A veces,Nunca,Nunca,Siempre,A menudo,A veces,Nunca,A menudo,Siempre,Raramente,A menudo,Raramente
IE0004606,Raramente,Raramente,Raramente,A veces,A veces,A veces,A menudo,A menudo,Siempre,A menudo,A menudo,Siempre,A menudo,A menudo,A menudo,A menudo,A veces,Siempre,A menudo
IE0102368,Raramente,A veces,Siempre,A menudo,Siempre,Siempre,A menudo,Raramente,Siempre,A menudo,A veces,A veces,Siempre,Nunca,Siempre,A veces,Siempre,Raramente,A menudo
IE9502868,A veces,Raramente,A menudo,Raramente,A menudo,A veces,Siempre,A veces,A menudo,Siempre,Raramente,Raramente,Raramente,A veces,A veces,Nunca,Raramente,Siempre,A veces
IE0903314,A veces,A menudo,Nunca,A menudo,Siempre,Nunca,A veces,A menudo,A veces,A veces,Nunca,A menudo,Nunca,Siempre,Raramente,A menudo,A menudo,Siempre,Nunca
IE9404908,Raramente,A menudo,Siempre,A veces,Nunca,Raramente,Nunca,Nunca,Raramente,Siempre,Nunca,A veces,Raramente,Raramente,Raramente,A menudo,Nunca,Raramente,A veces
IE0804694,A veces,Nunca,Nunca,Raramente,Raramente,A veces,Raramente,A menudo,A veces,Raramente,A menudo,A menudo,Nunca,Raramente,Raramente,A menudo,Siempre,Raramente,A menudo
IE1904050,Nunca,Raramente,Raramente,Siempre,A veces,Raramente,A veces,A menudo,Raramente,Raramente,A menudo,Raramente,A veces,A menudo,Raramente,A menudo,A menudo,Raramente,A menudo
IE9201144,A menudo,Raramente,Siempre,A veces,Siempre,A veces,A menudo,A veces,A veces,A veces,Nunca,Raramente,Siempre,A veces,A menudo,A veces,Raramente,Raramente,Raramente
IE9700398,A veces,A veces,Siempre,Raramente,Nunca,Nunca,Raramente,Raramente,A veces,A veces,Raramente,Raramente,Raramente,Nunca,A menudo,A menudo,A menudo,A menudo,A veces
IE0604901,Siempre,A veces,A veces,Nunca,Siempre,A veces,A veces,A veces,A veces,Nunca,A menudo,Raramente,A menudo,A veces,A veces,Siempre,A veces,Siempre,A menudo
IE1904728,Siempre,Raramente,Raramente,Raramente,A menudo,A veces,A menudo,Raramente,A menudo,Siempre,A menudo,A menudo,Raramente,Nunca,Raramente,A menudo,A menudo,Nunca,A menudo
IE2303334,A menudo,Nunca,Raramente,Nunca,A menudo,A menudo,A veces,A menudo,Siempre,Siempre,A veces,A veces,Raramente,A menudo,Raramente,A menudo,Siempre,Raramente,A veces
IE1201399,Raramente,Raramente,Nunca,Raramente,Siempre,A menudo,A veces,Siempre,Raramente,Nunca,A menudo,Nunca,Siempre,Nunca,A menudo,Raramente,A veces,A menudo,A veces
IE0601660,A veces,A menudo,A menudo,A veces,Raramente,Raramente,Raramente,Siempre,A veces,Raramente,Raramente,A menudo,Siempre,Siempre,A menudo,Raramente,A menudo,A menudo,A veces
IE0502221,Raramente,Siempre,A menudo,A veces,A menudo,A veces,Siempre,Raramente,Raramente,A veces,Nunca,A veces,Siempre,A menudo,A veces,A menudo,A veces,Siempre,A menudo
IE1000980,Raramente,A menudo,Siempre,Siempre,A menudo,A veces,A veces,Siempre,Siempre,Raramente,A menudo,A veces,Raramente,Raramente,Raramente,A menudo,A veces,A veces,Raramente
IE1402332,A veces,A menudo,A veces,Raramente,Raramente,Siempre,Raramente,Siempre,Nunca,A veces,A menudo,A menudo,Raramente,A veces,Siempre,A veces,A veces,Raramente,Nunca
IE9401299,A menudo,A veces,A menudo,Raramente,A menudo,A veces,A veces,A menudo,Siempre,Nunca,A menudo,Siempre,A veces,A veces,Siempre,Siempre,A veces,A menudo,A menudo
IE1805326,A menudo,Nunca,A veces,A veces,A menudo,A menudo,Raramente,A menudo,A menudo,A menudo,A veces,A menudo,Raramente,A veces,A menudo,A veces,A menudo,A veces,A menudo
IE0600083,Raramente,A veces,A veces,A veces,Raramente,A veces,Raramente,A menudo,Siempre,A veces,A veces,A veces,Raramente,Raramente,A veces,Nunca,Nunca,A veces,A menudo
IE9604527,Nunca,A menudo,Raramente,A veces,A veces,A veces,Nunca,A veces,A veces,A menudo,Siempre,A veces,A veces,Nunca,Raramente,A veces,Siempre,Raramente,A menudo
IE2204618,A menudo,A veces,Siempre,A veces,Nunca,A menudo,Raramente,Nunca,A veces,A veces,Raramente,A veces,Raramente,Raramente,A menudo,Siempre,A menudo,A menudo,A menudo
IE0704305,Raramente,A menudo,Siempre,Siempre,Raramente,A menudo,Raramente,A veces,A menudo,Raramente,A menudo,Nunca,Raramente,A menudo,A veces,A veces,Siempre,Siempre,Raramente
IE1704338,A menudo,Siempre,Raramente,A menudo,Raramente,A menudo,A menudo,Siempre,Siempre,A veces,A veces,A veces,Nunca,A menudo,Siempre,A menudo,A menudo,Nunca,A menudo
IE0202765,Raramente,Nunca,Siempre,Raramente,A menudo,A menudo,A menudo,A veces,A menudo,A veces,A menudo,Raramente,Raramente,A menudo,Raramente,A veces,Siempre,A menudo,A veces
IE2400424,A menudo,A veces,Raramente,A veces,Siempre,A menudo,Raramente,A veces,Raramente,Nunca,A menudo,Raramente,Raramente,Siempre,A menudo,A menudo,A menudo,A veces,A menudo
IE0904771,Raramente,Nunca,A menudo,A veces,A veces,A menudo,A veces,A menudo,A veces,A menudo,A menudo,A veces,A veces,A menudo,A menudo,A veces,Siempre,A menudo,A veces
IE1401905,A menudo,A menudo,Raramente,Nunca,A veces,A menudo,Siempre,A veces,Siempre,Siempre,A veces,Siempre,A veces,A menudo,A menudo,A veces,Siempre,A veces,A veces
IE9004996,Raramente,A menudo,A menudo,Nunca,Siempre,Raramente,A menudo,A veces,A menudo,Raramente,Nunca,Nunca,A veces,Raramente,Raramente,A menudo,A menudo,Siempre,Raramente
IE2304054,Raramente,Nunca,A veces,A veces,A menudo,Siempre,Nunca,A menudo,Siempre,A menudo,A veces,Siempre,A veces,Raramente,Raramente,A menudo,A menudo,Nunca,A menudo
IE9903755,A veces,Nunca,Siempre,Raramente,A veces,A veces,Raramente,A veces,Raramente,A menudo,Raramente,Raramente,A veces,Raramente,A veces,A veces,A veces,A veces,A menudo
IE2401566,Siempre,A menudo,A veces,Siempre,Raramente,A veces,Raramente,Raramente,A menudo,Siempre,Nunca,Raramente,A menudo,Siempre,Raramente,Nunca,Siempre,A veces,Siempre
IE1005161,Raramente,A veces,A veces,Raramente,Raramente,Siempre,A veces,Siempre,Siempre,Nunca,A menudo,A veces,A menudo,Siempre,Raramente,A veces,Siempre,A veces,A veces
IE0900840,A veces,A veces,A veces,Raramente,Nunca,Raramente,Raramente,Nunca,Raramente,Raramente,A menudo,A menudo,Raramente,A menudo,A veces,A veces,Nunca,Raramente,A menudo
IE9100501,A menudo,A veces,A veces,Raramente,A veces,A veces,A menudo,Nunca,A veces,A menudo,Siempre,A menudo,Nunca,A veces,A veces,A menudo,A veces,A veces,A menudo
IE0400142,Raramente,A veces,Siempre,Raramente,A menudo,Siempre,A menudo,A menudo,Nunca,Siempre,Raramente,A menudo,Nunca,A menudo,Nunca,Siempre,A menudo,Raramente,A veces
IE2301378,Siempre,Siempre,Siempre,Siempre,Siempre,A veces,Nunca,A veces,A menudo,A veces,Nunca,Raramente,A menudo,Raramente,Raramente,Siempre,A veces,Siempre,Nunca
IE1204281,A menudo,Siempre,Siempre,A veces,Siempre,A veces,Raramente,A menudo,Siempre,A menudo,Raramente,Nunca,A veces,Siempre,A menudo,A menudo,A veces,A veces,A menudo
IE2505499,Siempre,Nunca,Nunca,A menudo,Siempre,A menudo,A menudo,Raramente,Nunca,A menudo,A menudo,A menudo,Siempre,A menudo,A menudo,Siempre,A veces,A veces,Siempre
IE2502267,Siempre,Raramente,Siempre,Raramente,A veces,Nunca,A veces,Siempre,Raramente,Nunca,A veces,A veces,Siempre,A veces,A veces,Nunca,A veces,A veces,Siempre
IE1402581,A veces,A veces,Raramente,Nunca,A veces,A menudo,A menudo,A menudo,A menudo,A veces,A veces,A menudo,Siempre,Siempre,Siempre,A menudo,Nunca,Nunca,A menudo
IE1701139,A menudo,Raramente,A veces,A menudo,A veces,A veces,A menudo,Siempre,A menudo,Raramente,Raramente,A menudo,Raramente,A menudo,Nunca,A menudo,Nunca,Nunca,A menudo
IE0102258,A menudo,Siempre,A veces,A menudo,A veces,A veces,Raramente,A menudo,Siempre,A veces,A veces,A veces,A veces,A veces,Raramente,Nunca,A veces,Raramente,A menudo
IE9903066,Siempre,Siempre,A veces,Nunca,Raramente,A veces,A menudo,Siempre,Nunca,Siempre,A menudo,A menudo,Siempre,A menudo,A veces,Nunca,Siempre,Nunca,Siempre
IE2301788,A menudo,A menudo,Siempre,A menudo,A menudo,A menudo,Raramente,Nunca,A menudo,Siempre,A veces,A veces,A menudo,A menudo,Raramente,A menudo,Siempre,A veces,A menudo
IE1104075,Nunca,Nunca,A menudo,Nunca,A menudo,A veces,A veces,A menudo,A menudo,Siempre,A veces,Nunca,Siempre,A veces,A menudo,Raramente,A veces,Raramente,Siempre
IE2500551,Raramente,Raramente,A veces,A veces,Nunca,A menudo,A veces,Nunca,A veces,A veces,A menudo,Raramente,A menudo,Nunca,Raramente,Siempre,A veces,A menudo,A menudo
IE9103752,Raramente,Raramente,Siempre,A veces,A menudo,A veces,A veces,Siempre,Raramente,A veces,Siempre,Raramente,A veces,A menudo,A veces,A veces,A menudo,A menudo,Siempre
IE9902020,A menudo,Siempre,A menudo,A veces,Siempre,A veces,A menudo,A veces,A menudo,Raramente,Nunca,A veces,A menudo,A veces,Nunca,Nunca,A veces,Raramente,Nunca
IE1400949,A veces,A veces,A veces,Raramente,A menudo,A veces,Siempre,A menudo,Nunca,A menudo,A veces,A veces,Nunca,Raramente,Nunca,Nunca,Nunca,Raramente,Raramente
IE0102733,Nunca,Raramente,Raramente,A veces,Siempre,Siempre,A veces,Siempre,Raramente,Nunca,Siempre,A menudo,Raramente,Raramente,Raramente,Nunca,A veces,Nunca,Raramente
IE2602651,Raramente,Raramente,A veces,Siempre,Raramente,Nunca,A veces,A menudo,Nunca,A veces,Nunca,Raramente,Siempre,A veces,Nunca,A veces,Raramente,A veces,A veces
IE1500533,A veces,A menudo,A veces,Siempre,Raramente,A veces,Raramente,A menudo,Raramente,A menudo,A menudo,A menudo,A veces,Raramente,Siempre,Raramente,Siempre,Raramente,Siempre
IE1703277,Siempre,Raramente,A menudo,Raramente,A veces,Raramente,A veces,Siempre,A veces,A menudo,A menudo,A veces,A menudo,Nunca,A menudo,A menudo,Siempre,A veces,Nunca
IE9801830,A menudo,Nunca,A veces,A menudo,Nunca,A veces,A veces,Nunca,Raramente,A veces,Raramente,A menudo,Siempre,Siempre,Raramente,A veces,A menudo,A veces,Raramente
IE0104056,Raramente,A menudo,Raramente,Nunca,Raramente,A veces,A menudo,A menudo,A menudo,A menudo,Raramente,A veces,Raramente,Siempre,Raramente,A veces,A veces,A veces,Raramente
IE0504865,A menudo,Raramente,Nunca,A veces,A veces,Raramente,Nunca,Raramente,Raramente,A veces,Siempre,A veces,Siempre,Nunca,Nunca,A veces,A menudo,A veces,Siempre
IE0704388,A veces,Raramente,Siempre,Raramente,Raramente,Raramente,Raramente,A veces,A menudo,A veces,A menudo,Siempre,A veces,A veces,A veces,A veces,Raramente,A veces,A veces
IE1001603,Nunca,Raramente,Nunca,A veces,Siempre,Raramente,A veces,A menudo,A veces,A menudo,A veces,Siempre,Siempre,A menudo,A veces,Siempre,A veces,Raramente,Nunca
IE1002239,Siempre,Raramente,Nunca,Raramente,Nunca,Raramente,Siempre,Raramente,Raramente,A menudo,Raramente,Siempre,A veces,A veces,A veces,A menudo,Siempre,Raramente,Siempre
IE0500640,A menudo,A veces,Raramente,A veces,A menudo,A menudo,Raramente,Raramente,A veces,Raramente,Nunca,Raramente,Nunca,A menudo,A menudo,A veces,Siempre,Siempre,A menudo
IE0105314,A menudo,A menudo,A veces,A veces,Siempre,Siempre,Siempre,Siempre,A veces,A menudo,A menudo,Raramente,Siempre,A veces,Raramente,A menudo,A menudo,A menudo,A veces
IE1100968,A menudo,A menudo,A veces,Raramente,A veces,Raramente,A veces,A menudo,A veces,A veces,A menudo,A veces,A veces,Raramente,A menudo,A veces,A menudo,Siempre,A veces
IE0004658,Raramente,Siempre,Nunca,A veces,Nunca,A veces,Siempre,Siempre,Nunca,A veces,A veces,Raramente,A menudo,A menudo,Siempre,A menudo,Siempre,Raramente,Siempre
IE9003163,A menudo,A veces,A veces,A menudo,A veces,Siempre,A veces,A veces,Raramente,A veces,A menudo,A menudo,A menudo,A veces,A veces,Raramente,Nunca,A veces,A veces
IE2601684,A veces,Raramente,Siempre,A menudo,A menudo,Nunca,Siempre,A veces,Raramente,A menudo,Raramente,A menudo,A veces,Raramente,A veces,A veces,Raramente,Raramente,A menudo
IE2202249,Nunca,A menudo,A veces,A veces,A veces,Siempre,A veces,Siempre,Siempre,Raramente,A menudo,A menudo,A menudo,A veces,Siempre,A veces,A menudo,A menudo,A menudo
IE0603553,A veces,A veces,Siempre,A menudo,Siempre,Nunca,A veces,A veces,Siempre,A menudo,A veces,A veces,Raramente,A veces,A menudo,A menudo,A menudo,A menudo,A veces
IE0604922,A menudo,A veces,Nunca,Siempre,A veces,Siempre,A menudo,A veces,A veces,A veces,Raramente,Siempre,A veces,A menudo,Siempre,Nunca,A menudo,Siempre,Nunca
IE1005366,A menudo,A menudo,A veces,Raramente,A veces,Raramente,Nunca,A veces,A veces,Nunca,A veces,Siempre,Siempre,Raramente,Raramente,Raramente,A veces,A veces,Raramente
IE2100156,A menudo,A veces,Raramente,Nunca,A veces,A menudo,Raramente,A menudo,Nunca,Siempre,A menudo,A veces,A menudo,A menudo,Raramente,A veces,Raramente,A menudo,A menudo
IE9402296,Raramente,A veces,A menudo,A veces,A veces,A menudo,Nunca,Raramente,Nunca,A menudo,Raramente,A veces,Siempre,A veces,A menudo,Siempre,Siempre,A veces,Raramente
IE9302999,A menudo,Raramente,Nunca,Raramente,A menudo,A menudo,Raramente,A veces,A menudo,A veces,A veces,A veces,A veces,Raramente,A veces,Siempre,Nunca,A veces,A veces
IE1203427,Nunca,A veces,A veces,A veces,A menudo,Siempre,Nunca,A menudo,A menudo,A veces,A menudo,A menudo,Raramente,A veces,A veces,A menudo,A veces,Nunca,A menudo
IE9901090,A veces,A menudo,A menudo,A veces,Raramente,A menudo,A veces,A veces,A veces,A veces,A menudo,A menudo,A veces,A menudo,A menudo,A veces,Nunca,A veces,Nunca
IE0803197,Nunca,Raramente,A menudo,Raramente,A veces,Nunca,A veces,A veces,Raramente,A menudo,Raramente,A veces,A menudo,A veces,A veces,A menudo,A veces,Siempre,Siempre
IE9602320,A veces,Raramente,A veces,A menudo,A menudo,Nunca,Raramente,A veces,Siempre,A veces,A menudo,Raramente,Raramente,A menudo,A menudo,A menudo,Siempre,A veces,Raramente
IE1104663,A veces,Raramente,A veces,Nunca,Siempre,Nunca,A menudo,Raramente,Nunca,A veces,Nunca,A veces,Raramente,A veces,Nunca,A menudo,A menudo,A menudo,A menudo
IE2100289,Siempre,Siempre,A veces,A menudo,Nunca,A menudo,A veces,A menudo,Raramente,A veces,A veces,A veces,Raramente,Raramente,A menudo,A menudo,Raramente,Raramente,A menudo
IE1500931,Nunca,A menudo,Nunca,A menudo,Nunca,Raramente,A veces,A menudo,A menudo,A menudo,A menudo,Nunca,Siempre,Raramente,A veces,Siempre,A veces,A veces,Nunca
IE9204436,A menudo,A veces,A veces,A veces,A veces,A menudo,Nunca,Raramente,A menudo,A menudo,Raramente,A menudo,A menudo,Siempre,A veces,Raramente,Siempre,Nunca,Raramente
IE1102877,Siempre,Raramente,A veces,Raramente,A veces,A veces,Siempre,A menudo,Raramente,A menudo,A menudo,Raramente,A menudo,Raramente,Siempre,A menudo,A veces,A veces,A menudo
IE1703429,A veces,A menudo,A menudo,A menudo,A menudo,Siempre,Nunca,Raramente,A veces,A menudo,Nunca,Siempre,A veces,A veces,A menudo,Raramente,A menudo,A veces,Raramente
IE1205000,Raramente,Siempre,A veces,A veces,A menudo,A veces,Nunca,A menudo,A menudo,A veces,Raramente,Nunca,Raramente,A veces,Raramente,A veces,A menudo,Siempre,A veces
IE9404082,A menudo,A veces,Raramente,A menudo,Nunca,A veces,A menudo,A menudo,Siempre,A menudo,A menudo,Siempre,A menudo,Raramente,A veces,Raramente,Raramente,A veces,A menudo
IE2604349,Siempre,Raramente,A menudo,Nunca,Raramente,A veces,A veces,A veces,Raramente,A veces,Siempre,A menudo,A menudo,A veces,A veces,A veces,A veces,A veces,A veces
IE2203979,Raramente,A menudo,A veces,Raramente,A veces,Raramente,A menudo,Nunca,A menudo,Siempre,A veces,A veces,A menudo,A menudo,Siempre,A veces,Raramente,A menudo,Nunca
IE1500943,A veces,Nunca,A veces,A veces,A menudo,Siempre,A veces,Siempre,Nunca,Siempre,A menudo,A menudo,Siempre,Siempre,A menudo,Siempre,A veces,Raramente,A menudo
IE1502355,A veces,Siempre,Nunca,Siempre,Nunca,A menudo,Raramente,A veces,A menudo,Siempre,Raramente,A veces,A menudo,A veces,Raramente,A menudo,Raramente,A veces,Siempre
